RB	En
1950.en	King Alfonso VI made important donations to the new church.
1951.en	After the French were expelled, power was seized in 1805 by Muhammad Ali Pasha, an Albanian military commander of the Ottoman army in Egypt.
1952.en	They later moved to North Oakland, although Gillum continued to attend school in Berkeley.
1953.en	Both evangelistaries that now constitute the Codex Eyckensis were presumably brought from the Abbey of Echternach to Aldeneik by Saint Willibrord.
1954.en	The individual freedom of expression is therefore essential to the well-being of society.
1955.en	In Dalí's later years, young artists such as Andy Warhol proclaimed him an important influence on pop art.
1956.en	What is left of these first small continents are called cratons.
1957.en	It was given the temporary designation S/2004 S 2.
1958.en	Frederick was captured in 1281, but after a long war his father recognized the rights of the brothers in 1289.
1959.en	Hawaii became an official U.S. territory.
1960.en	After the war, the church was rebuilt.
1961.en	The novel is set in ancient China.
1962.en	Estonia has won the contest once in 2001 with the song "Everybody" performed by Tanel Padar, Dave Benton and 2XL.
1963.en	Meanwhile, a series of protracted infantry engagements resulted in the rout of the Swiss and French infantry.
1964.en	Every time a head is chopped off, two new heads grow back.
1965.en	However, the gravitational disruptions caused by such an event could cause a wave of star formation to move through the larger galaxy.
1966.en	The CIL presently consists of 17 volumes in about 70 parts, recording approximately 180,000 inscriptions.
1967.en	Francis now turned his attention to Lombardy.
1968.en	Alexandra was famous in Saint Petersburg society for both her wit and her lively personality.
1969.en	Both pieces seem to have been executed by the same sculptor.
1970.en	In 1946, the first democratic elections after the Second World War were held.
1971.en	The Khangai Mountains are an old mountain range in central Mongolia, some 400 kilometres west of Ulaanbaatar.
1972.en	This is called total internal reflection.
1973.en	Computer viruses reproduce using the hardware and software already present on computers.
1974.en	Gustaf VI Adolf participated in archaeological expeditions in China, Greece, Korea and Italy, and founded the Swedish Institute in Rome.
1975.en	Throughout his life Whorf was a chemical engineer by profession, but as a young man he took up an interest in linguistics.
1976.en	For these reasons, some astronomers suggest they belong in their own category, ice giants.
1977.en	In practical use, it is typically the application of computer simulation and other forms of computation to problems in various scientific disciplines.
1978.en	Endoparasites live inside the body of the host.
1979.en	In 1859 Lies showed the first serious signs of tuberculosis.
1980.en	The values of those JavaScript variables can be manually set within the code, or retrieved from static or dynamic JSON resources.
1981.en	The business community and labor unions called for a two-day nationwide strike.
1982.en	In addition, many students complained that their photos were being used without permission.
1983.en	Winning one of these awards is considered to be a great honour.
1984.en	Angry Birds is a video game franchise created by the Finnish company Rovio Entertainment.
1985.en	From the middle of the tenth century, the Benedictine nuns had been replaced by a collegiate chapter of male canons.
1986.en	Fossils have been found in North America.
1987.en	There are organizations that provide support for people and families affected by epilepsy.
1988.en	A force from Provence, led by Alphonse of Toulouse, chose to wait until August, and to cross by sea.
1989.en	Euler's vision in that eye worsened throughout his stay in Germany, to the extent that Frederick referred to him as "Cyclops".
1990.en	Raining animals is a rare meteorological phenomenon in which flightless animals fall from the sky.
1991.en	Founded in Winnipeg, it had no affiliation with any church in Europe.
1992.en	The minimum amount of energy needed for an electron to leave a surface is called the work function.
1993.en	A euro referendum was held in Denmark resulting in a 53.2% vote against the government's proposal to join the euro.
1994.en	Ikebana is the Japanese art of flower arrangement.
1995.en	They are highly intelligent, and learn quickly.
1996.en	Following the battle, fighting again spilled onto French soil, while Venice made a separate peace.
1997.en	They have mouths full of sharp teeth, even on the tongue.
1998.en	There is also a small airport.
1999.en	The Korać Cup was named after the legendary Yugoslav player Radivoj Korać, killed in 1969 in a car accident near Sarajevo.
2000.en	The tokonoma and its contents are essential elements of traditional Japanese interior decoration.
2001.en	Technological factors include technological aspects like R&D activity, automation, technology incentives and the rate of technological change.
2002.en	Austrian claims on those German states were renounced without exception.
2003.en	The AH-1 was the backbone of the United States Army's attack helicopter fleet, but has been replaced by the AH-64 Apache in Army service.
2004.en	A fire caused the collapse of the roof and a bomb destroyed part of the northern side.
2005.en	One can freely move in space but not in time.
2006.en	This may have been an attempt at explaining the theory of contemporary Greek astronomers such as Eratosthenes that the Earth is round.
